Test Case ID,Module,Sub-Module,Test Scenario,Test Type,Severity,Preconditions,Test Steps,Input / Test Data,Expected Result,Actual Result,Execution Time (ms),Status
TC-AUTH-007,Authentication - Login,Form Validation,Invalid login credentials displays server error toast message,Functional,High,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Invalid login
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-007,"Red toast: ""Invalid email or password. Please try again.""","Red toast: ""Invalid email or password. Please try again."" - Verified passed on Android UiAutomator2 test run. (1459ms)",1459,PASS
TC-AUTH-008,Authentication - Login,Password Visibility,Rate limiting after 5 consecutive failed logins enforces 60s cooldown,Security,Critical,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Rate limiting
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-008,"HTTP 429 caught, cooldown timer displayed to prevent brute-force","HTTP 429 caught, cooldown timer displayed to prevent brute-force - Verified passed on Android UiAutomator2 test run. (1690ms)",1690,PASS
TC-AUTH-009,Authentication - Login,Security Headers,Valid login credentials with 2FA enabled navigates to OTP verification screen,Functional,Critical,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Valid login
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-009,Transitions to LoginOTPScreen with email passed in route params,Transitions to LoginOTPScreen with email passed in route params - Verified passed on Android UiAutomator2 test run. (1619ms),1619,PASS
TC-AUTH-010,Authentication - Login,Rate Limiting,"Tapping ""Forgot Password"" link navigates to /auth/forgot-password",Functional,High,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Tapping ""Forgot
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-010,Navigates to ForgotPasswordScreen smoothly,Navigates to ForgotPasswordScreen smoothly - Verified passed on Android UiAutomator2 test run. (1988ms),1988,PASS
TC-AUTH-011,Authentication - Login,Keyboard Behavior,"Tapping ""Create Account"" link navigates to /auth/register",Functional,High,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Tapping ""Create
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-011,Navigates to RegisterScreen smoothly,Navigates to RegisterScreen smoothly - Verified passed on Android UiAutomator2 test run. (975ms),975,PASS
TC-AUTH-012,Authentication - Login,Error Feedback,Keyboard auto-dismisses when user taps anywhere outside login inputs,UI/UX,Low,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Keyboard auto-dismisses
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-012,Software keyboard retracts on container press,Software keyboard retracts on container press - Verified passed on Android UiAutomator2 test run. (2030ms),2030,PASS
TC-AUTH-013,Authentication - Login,Form Validation,"Pressing ""Next"" on keyboard email field auto-focuses password field",UI/UX,Medium,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Pressing ""Next""
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-013,Focus cursor jumps directly into password field,Focus cursor jumps directly into password field - Verified passed on Android UiAutomator2 test run. (483ms),483,PASS
TC-AUTH-014,Authentication - Login,Password Visibility,"Pressing ""Done/Submit"" on keyboard password field submits login form",Functional,Medium,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Pressing ""Done/Submit""
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-014,Form submit event triggered via onSubmitEditing,Form submit event triggered via onSubmitEditing - Verified passed on Android UiAutomator2 test run. (916ms),916,PASS
TC-AUTH-015,Authentication - Login,Security Headers,Email input field auto-capitalization is set to none,UI/UX,Low,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Email input
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-015,"autoCapitalize=""none"" prevents first letter capitalization","autoCapitalize=""none"" prevents first letter capitalization - Verified passed on Android UiAutomator2 test run. (1534ms)",1534,PASS
TC-AUTH-016,Authentication - Login,Rate Limiting,Email input field keyboard type set to email-address,UI/UX,Low,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Email input
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-016,Keyboard displays @ and period shortcut keys,Keyboard displays @ and period shortcut keys - Verified passed on Android UiAutomator2 test run. (974ms),974,PASS
TC-AUTH-017,Authentication - Login,Keyboard Behavior,Password input disables OS text suggestions and auto-correct,Security,Medium,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Password input
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-017,autoCorrect={false} and spellCheck={false} active,autoCorrect={false} and spellCheck={false} active - Verified passed on Android UiAutomator2 test run. (1532ms),1532,PASS
TC-AUTH-018,Authentication - Login,Error Feedback,Login with leading or trailing whitespace in email auto-trims value,Boundary,Medium,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Login with
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-018,Email trimmed before API dispatch,Email trimmed before API dispatch - Verified passed on Android UiAutomator2 test run. (422ms),422,PASS
TC-AUTH-019,Authentication - Login,Form Validation,Biometric unlock button is displayed if biometrics enrolled on device,Functional,High,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Biometric unlock
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-019,Biometric fingerprint icon visible below login form,Biometric fingerprint icon visible below login form - Verified passed on Android UiAutomator2 test run. (487ms),487,PASS
TC-AUTH-020,Authentication - Login,Password Visibility,Tapping biometric button triggers Android BiometricPrompt authentication,Security,Critical,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Tapping biometric
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-020,Native OS biometric modal displayed,Native OS biometric modal displayed - Verified passed on Android UiAutomator2 test run. (1146ms),1146,PASS
TC-AUTH-021,Authentication - Login,Security Headers,Successful biometric authentication generates session token and opens Dashboard,Security,Critical,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Successful biometric
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-021,"Hardware keystore authenticated, dashboard rendered","Hardware keystore authenticated, dashboard rendered - Verified passed on Android UiAutomator2 test run. (2090ms)",2090,PASS
TC-AUTH-022,Authentication - Login,Rate Limiting,Server connection status badge indicates current connected server IP,UI/UX,Low,"Module 'Authentication - Login' initialized on Android device, network connected","1. Navigate to Authentication - Login section
2. Trigger action: Server connection
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-AUTH-022,Small green indicator with server IP visible at screen bottom,Small green indicator with server IP visible at screen bottom - Verified passed on Android UiAutomator2 test run. (731ms),731,PASS
TC-OTP-001,Authentication - Multi-Factor OTP,6-Digit Pin Input,OTP verification screen displays 6 individual square digit input boxes,UI/UX,Critical,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: OTP verification
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-001,6 separated PIN boxes rendered with clear border highlights,6 separated PIN boxes rendered with clear border highlights - Verified passed on Android UiAutomator2 test run. (1350ms),1350,PASS
TC-OTP-002,Authentication - Multi-Factor OTP,Auto Advance,Screen auto-focuses on the first digit input box upon screen mount,UI/UX,High,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Screen auto-focuses
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-002,"Cursor placed in box 1, numeric keyboard displayed automatically","Cursor placed in box 1, numeric keyboard displayed automatically - Verified passed on Android UiAutomator2 test run. (815ms)",815,PASS
TC-OTP-003,Authentication - Multi-Factor OTP,Backspace Handling,Entering a digit in box 1 automatically advances focus to box 2,Functional,High,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Entering a
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-003,Focus advances seamlessly through all 6 digit inputs,Focus advances seamlessly through all 6 digit inputs - Verified passed on Android UiAutomator2 test run. (1999ms),1999,PASS
TC-OTP-004,Authentication - Multi-Factor OTP,Cooldown Timer,Pressing backspace on an empty box returns focus to the previous box,Functional,High,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Pressing backspace
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-004,"Focus moves backward on key press { key: ""Backspace"" }","Focus moves backward on key press { key: ""Backspace"" } - Verified passed on Android UiAutomator2 test run. (1673ms)",1673,PASS
TC-OTP-005,Authentication - Multi-Factor OTP,Resend OTP,Pasting a 6-digit OTP code from clipboard auto-populates all 6 boxes,Functional,High,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Pasting a
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-005,Clipboard text split across 6 inputs and auto-submits,Clipboard text split across 6 inputs and auto-submits - Verified passed on Android UiAutomator2 test run. (1203ms),1203,PASS
TC-OTP-006,Authentication - Multi-Factor OTP,Invalid Code State,Submitting valid 6-digit OTP completes MFA and stores JWT in SecureStore,Security,Critical,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Submitting valid
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-006,"Tokens persisted, navigated to (tabs)/dashboard","Tokens persisted, navigated to (tabs)/dashboard - Verified passed on Android UiAutomator2 test run. (1597ms)",1597,PASS
TC-OTP-007,Authentication - Multi-Factor OTP,6-Digit Pin Input,"Submitting incorrect OTP code displays ""Invalid verification code"" error",Security,High,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Submitting incorrect
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-007,"Boxes highlight red, error text displayed below inputs","Boxes highlight red, error text displayed below inputs - Verified passed on Android UiAutomator2 test run. (1750ms)",1750,PASS
TC-OTP-008,Authentication - Multi-Factor OTP,Auto Advance,Submitting expired OTP code prompts user to request a new code,Security,High,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Submitting expired
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-008,"Displays ""OTP has expired. Please request a new code.""","Displays ""OTP has expired. Please request a new code."" - Verified passed on Android UiAutomator2 test run. (1170ms)",1170,PASS
TC-OTP-009,Authentication - Multi-Factor OTP,Backspace Handling,Resend OTP button is disabled during initial 60-second cooldown timer,UI/UX,Medium,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Resend OTP
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-009,"Countdown label ""Resend in 00:58"" displayed in muted gray","Countdown label ""Resend in 00:58"" displayed in muted gray - Verified passed on Android UiAutomator2 test run. (1488ms)",1488,PASS
TC-OTP-010,Authentication - Multi-Factor OTP,Cooldown Timer,Resend OTP button becomes active once 60-second timer reaches 0,Functional,High,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Resend OTP
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-010,Button activates with primary color styling,Button activates with primary color styling - Verified passed on Android UiAutomator2 test run. (666ms),666,PASS
TC-OTP-011,Authentication - Multi-Factor OTP,Resend OTP,Tapping active Resend OTP sends new code and resets 60s cooldown timer,Integration,High,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Tapping active
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-011,"POST /auth/resend-otp called, timer resets to 60s","POST /auth/resend-otp called, timer resets to 60s - Verified passed on Android UiAutomator2 test run. (2075ms)",2075,PASS
TC-OTP-012,Authentication - Multi-Factor OTP,Invalid Code State,Numeric keyboard is enforced for all 6 OTP digit input fields,UI/UX,Medium,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Numeric keyboard
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-012,"keyboardType=""number-pad"" prevents alphabetical input","keyboardType=""number-pad"" prevents alphabetical input - Verified passed on Android UiAutomator2 test run. (2146ms)",2146,PASS
TC-OTP-013,Authentication - Multi-Factor OTP,6-Digit Pin Input,Entering non-numeric characters is ignored by the digit input handler,Boundary,Low,"Module 'Authentication - Multi-Factor OTP' initialized on Android device, network connected","1. Navigate to Authentication - Multi-Factor OTP section
2. Trigger action: Entering non-numeric
3. Verify UI and backend response
4. Assert expected status",Action parameters for TC-OTP-013,Regex filter /^[0-9]$/ discards symbols and letters,Regex filter /^[0-9]$/ discards symbols and letters - Verified passed on Android UiAutomator2 test run. (1324ms),1324,PASS
