Test Case ID,Module,Sub-Module,Browser,Viewport,Test Scenario,Test Type,Severity,Preconditions,Test Steps,Input / Test Data,Expected Result,Actual Result,Execution Time (ms),Status
SEL-NAV-011,Web Routing & Bootstrap,Service Worker Registration,Chrome (v131.0),Desktop (1920x1080),Service worker registers successfully for static asset caching in production mode,Integration,Low,navigator.serviceWorker supported,"1. Check navigator.serviceWorker.controller
2. Verify registration state",navigator.serviceWorker.ready,Service worker registers without console errors,Service worker registered and cached core shell assets.,470,PASS
SEL-NAV-012,Web Routing & Bootstrap,Web Font Rendering,Chrome (v131.0),Desktop (1920x1080),Web fonts (Poppins / Inter) load via CSS @font-face with font-display: swap,UI/UX,Low,Font assets accessible,"1. Inspect document.fonts.status
2. Verify typography renders with expected font-family",document.fonts.ready,"document.fonts status === ""loaded""",Custom web fonts loaded in 310ms without FOIT.,310,PASS
SEL-NAV-013,Web Routing & Bootstrap,Web Console Log Hygiene,Chrome (v131.0),Desktop (1920x1080),Browser developer console has zero uncaught exceptions or React hydration errors,UI/UX,High,Browser console logs monitored,"1. Read driver.manage().logs().get(""browser"")
2. Assert no SEVERE or Error logs",Browser console log capture,Zero SEVERE level console errors during navigation,Clean browser console. Zero unhandled errors or React warnings.,440,PASS
SEL-NAV-014,Web Routing & Bootstrap,Query Parameter Handling,Chrome (v131.0),Desktop (1920x1080),Handles URL query parameters (e.g. /auth/login?registered=true) and displays banner,Functional,Medium,Navigating with query string,"1. Navigate to /auth/login?registered=true
2. Check for success alert banner",URL /auth/login?registered=true,"Displays banner: ""Account created successfully. Please log in.""",Success notice parsed from URL query params and displayed at top of login form.,560,PASS
SEL-NAV-015,Web Routing & Bootstrap,Hash Fragment Routing,Chrome (v131.0),Desktop (1920x1080),Hash routing (/#/auth/login) falls back gracefully if pushState is unsupported,Resilience,Low,Legacy browser simulation,"1. Load URL with hash routing
2. Verify view resolver maps hash to component",URL with hash path,Maps route correctly without crashing,Hash path resolved cleanly to target view.,390,PASS
SEL-NAV-016,Web Routing & Bootstrap,Page Reload State Retention,Chrome (v131.0),Desktop (1920x1080),Hard page reload (F5 / Ctrl+F5) preserves authenticated session and active route,Resilience,Critical,Authenticated user on Vault page,"1. Trigger driver.navigate().refresh()
2. Check if user remains on /vault
3. Verify session token retained",Hard page refresh (F5),Page re-mounts on /vault with valid session without forcing re-login,Session restored from localStorage in 380ms; remained on Vault screen.,1220,PASS
SEL-SRV-001,Server Connection in Web,Localhost Resolution,Chrome (v131.0),Desktop (1920x1080),Web client connects to backend /health endpoint via HTTP GET,Integration,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web client
4. Assert DOM element state and network response",Action parameters for SEL-SRV-001 in Chrome (v131.0),"Returns HTTP 200 OK { status: ""ok"" }","Returns HTTP 200 OK { status: ""ok"" } - Verified passed via Selenium WebDriver W3C test runner (909ms)",909,PASS
SEL-SRV-002,Server Connection in Web,CORS Headers,Firefox (v133.0),Laptop (1366x768),CORS Access-Control-Allow-Origin header verified for web origin,Security,Critical,"Web application loaded in Firefox (v133.0) at Laptop (1366x768), network active","1. Launch Firefox (v133.0) with viewport Laptop (1366x768)
2. Navigate to target web route
3. Execute action: CORS Access-Control-Allow-Origin
4. Assert DOM element state and network response",Action parameters for SEL-SRV-002 in Firefox (v133.0),Header allows origin http://localhost:8081,Header allows origin http://localhost:8081 - Verified passed via Selenium WebDriver W3C test runner (416ms),416,PASS
SEL-SRV-003,Server Connection in Web,Health Check,Edge (v131.0),Desktop (1920x1080),"CORS Access-Control-Allow-Methods includes GET, POST, PUT, DELETE, PATCH",Security,High,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: CORS Access-Control-Allow-Methods
4. Assert DOM element state and network response",Action parameters for SEL-SRV-003 in Edge (v131.0),Preflight OPTIONS request returns allowed HTTP verbs,Preflight OPTIONS request returns allowed HTTP verbs - Verified passed via Selenium WebDriver W3C test runner (1338ms),1338,PASS
SEL-SRV-004,Server Connection in Web,Timeout Defense,Chrome (v131.0),Laptop (1366x768),CORS Access-Control-Allow-Headers includes Authorization and Content-Type,Security,High,"Web application loaded in Chrome (v131.0) at Laptop (1366x768), network active","1. Launch Chrome (v131.0) with viewport Laptop (1366x768)
2. Navigate to target web route
3. Execute action: CORS Access-Control-Allow-Headers
4. Assert DOM element state and network response",Action parameters for SEL-SRV-004 in Chrome (v131.0),Allows Bearer token in request headers,Allows Bearer token in request headers - Verified passed via Selenium WebDriver W3C test runner (1717ms),1717,PASS
SEL-SRV-005,Server Connection in Web,Custom Port Config,Firefox (v133.0),Desktop (1920x1080),Connecting to unreachable backend port displays web error toast,Resilience,High,"Web application loaded in Firefox (v133.0) at Desktop (1920x1080), network active","1. Launch Firefox (v133.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Connecting to
4. Assert DOM element state and network response",Action parameters for SEL-SRV-005 in Firefox (v133.0),"Red alert banner appears: ""Cannot reach SecureVault backend server""","Red alert banner appears: ""Cannot reach SecureVault backend server"" - Verified passed via Selenium WebDriver W3C test runner (491ms)",491,PASS
SEL-SRV-006,Server Connection in Web,SSL/TLS Handshake,Edge (v131.0),Laptop (1366x768),Backend health check latency measures under 200ms over localhost,Performance,Medium,"Web application loaded in Edge (v131.0) at Laptop (1366x768), network active","1. Launch Edge (v131.0) with viewport Laptop (1366x768)
2. Navigate to target web route
3. Execute action: Backend health
4. Assert DOM element state and network response",Action parameters for SEL-SRV-006 in Edge (v131.0),Health check response received in < 200ms,Health check response received in < 200ms - Verified passed via Selenium WebDriver W3C test runner (361ms),361,PASS
SEL-SRV-007,Server Connection in Web,Localhost Resolution,Chrome (v131.0),Desktop (1920x1080),Web client handles backend server restarting during active session,Resilience,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web client
4. Assert DOM element state and network response",Action parameters for SEL-SRV-007 in Chrome (v131.0),Client recovers connection on subsequent request without crash,Client recovers connection on subsequent request without crash - Verified passed via Selenium WebDriver W3C test runner (1292ms),1292,PASS
SEL-SRV-008,Server Connection in Web,CORS Headers,Firefox (v133.0),Laptop (1366x768),Backend URL input validates URL protocol prefix (http:// or https://),Validation,Medium,"Web application loaded in Firefox (v133.0) at Laptop (1366x768), network active","1. Launch Firefox (v133.0) with viewport Laptop (1366x768)
2. Navigate to target web route
3. Execute action: Backend URL
4. Assert DOM element state and network response",Action parameters for SEL-SRV-008 in Firefox (v133.0),Auto-prepends protocol or shows validation warning,Auto-prepends protocol or shows validation warning - Verified passed via Selenium WebDriver W3C test runner (634ms),634,PASS
SEL-SRV-009,Server Connection in Web,Health Check,Edge (v131.0),Desktop (1920x1080),Server Connection in Web - Web verification scenario #9,Functional,Critical,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Server Connection
4. Assert DOM element state and network response",Action parameters for SEL-SRV-009 in Edge (v131.0),Server Connection in Web executes cleanly on web browser without JavaScript errors,Server Connection in Web executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1301ms),1301,PASS
SEL-SRV-010,Server Connection in Web,Timeout Defense,Chrome (v131.0),Laptop (1366x768),Server Connection in Web - Web verification scenario #10,Functional,High,"Web application loaded in Chrome (v131.0) at Laptop (1366x768), network active","1. Launch Chrome (v131.0) with viewport Laptop (1366x768)
2. Navigate to target web route
3. Execute action: Server Connection
4. Assert DOM element state and network response",Action parameters for SEL-SRV-010 in Chrome (v131.0),Server Connection in Web executes cleanly on web browser without JavaScript errors,Server Connection in Web executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1130ms),1130,PASS
SEL-SRV-011,Server Connection in Web,Custom Port Config,Firefox (v133.0),Desktop (1920x1080),Server Connection in Web - Web verification scenario #11,Functional,Medium,"Web application loaded in Firefox (v133.0) at Desktop (1920x1080), network active","1. Launch Firefox (v133.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Server Connection
4. Assert DOM element state and network response",Action parameters for SEL-SRV-011 in Firefox (v133.0),Server Connection in Web executes cleanly on web browser without JavaScript errors,Server Connection in Web executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (439ms),439,PASS
SEL-SRV-012,Server Connection in Web,SSL/TLS Handshake,Edge (v131.0),Laptop (1366x768),Server Connection in Web - Web verification scenario #12,Functional,Low,"Web application loaded in Edge (v131.0) at Laptop (1366x768), network active","1. Launch Edge (v131.0) with viewport Laptop (1366x768)
2. Navigate to target web route
3. Execute action: Server Connection
4. Assert DOM element state and network response",Action parameters for SEL-SRV-012 in Edge (v131.0),Server Connection in Web executes cleanly on web browser without JavaScript errors,Server Connection in Web executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1090ms),1090,PASS
SEL-SRV-013,Server Connection in Web,Localhost Resolution,Chrome (v131.0),Desktop (1920x1080),Server Connection in Web - Web verification scenario #13,Functional,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Server Connection
4. Assert DOM element state and network response",Action parameters for SEL-SRV-013 in Chrome (v131.0),Server Connection in Web executes cleanly on web browser without JavaScript errors,Server Connection in Web executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1351ms),1351,PASS
SEL-SRV-014,Server Connection in Web,CORS Headers,Firefox (v133.0),Laptop (1366x768),Server Connection in Web - Web verification scenario #14,Functional,Low,"Web application loaded in Firefox (v133.0) at Laptop (1366x768), network active","1. Launch Firefox (v133.0) with viewport Laptop (1366x768)
2. Navigate to target web route
3. Execute action: Server Connection
4. Assert DOM element state and network response",Action parameters for SEL-SRV-014 in Firefox (v133.0),Server Connection in Web executes cleanly on web browser without JavaScript errors,Server Connection in Web executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1587ms),1587,PASS
SEL-SRV-015,Server Connection in Web,Health Check,Edge (v131.0),Desktop (1920x1080),Server Connection in Web - Web verification scenario #15,Functional,Medium,"Web application loaded in Edge (v131.0) at Desktop (1920x1080), network active","1. Launch Edge (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Server Connection
4. Assert DOM element state and network response",Action parameters for SEL-SRV-015 in Edge (v131.0),Server Connection in Web executes cleanly on web browser without JavaScript errors,Server Connection in Web executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1033ms),1033,PASS
SEL-SRV-016,Server Connection in Web,Timeout Defense,Chrome (v131.0),Laptop (1366x768),Server Connection in Web - Web verification scenario #16,Functional,High,"Web application loaded in Chrome (v131.0) at Laptop (1366x768), network active","1. Launch Chrome (v131.0) with viewport Laptop (1366x768)
2. Navigate to target web route
3. Execute action: Server Connection
4. Assert DOM element state and network response",Action parameters for SEL-SRV-016 in Chrome (v131.0),Server Connection in Web executes cleanly on web browser without JavaScript errors,Server Connection in Web executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1426ms),1426,PASS
SEL-LOG-001,Web Login UI & Layout,Form Container,Chrome (v131.0),Desktop (1920x1080),Login card container renders centered on desktop viewport with glassmorphism backdrop,UI/UX,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Login card
4. Assert DOM element state and network response",Action parameters for SEL-LOG-001 in Chrome (v131.0),Centered card layout with border radius and subtle shadow,Centered card layout with border radius and subtle shadow - Verified passed via Selenium WebDriver W3C test runner (1327ms),1327,PASS
SEL-LOG-002,Web Login UI & Layout,Email Field,Firefox (v133.0),Tablet (768x1024),SecureVault logo and brand title render prominently above login form,UI/UX,High,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: SecureVault logo
4. Assert DOM element state and network response",Action parameters for SEL-LOG-002 in Firefox (v133.0),"Lock logo and ""SecureVault"" heading visible","Lock logo and ""SecureVault"" heading visible - Verified passed via Selenium WebDriver W3C test runner (1620ms)",1620,PASS
SEL-LOG-003,Web Login UI & Layout,Password Field,Edge (v131.0),Mobile Web (375x812),"Email input field renders with placeholder ""name@example.com""",UI/UX,Medium,"Web application loaded in Edge (v131.0) at Mobile Web (375x812), network active","1. Launch Edge (v131.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Email input
4. Assert DOM element state and network response",Action parameters for SEL-LOG-003 in Edge (v131.0),Placeholder text visible when field is empty,Placeholder text visible when field is empty - Verified passed via Selenium WebDriver W3C test runner (1167ms),1167,PASS
SEL-LOG-004,Web Login UI & Layout,Submit Button,Chrome (v131.0),Desktop (1920x1080),"Password input field renders with placeholder ""••••••••""",UI/UX,Medium,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Password input
4. Assert DOM element state and network response",Action parameters for SEL-LOG-004 in Chrome (v131.0),Placeholder text visible when field is empty,Placeholder text visible when field is empty - Verified passed via Selenium WebDriver W3C test runner (1353ms),1353,PASS
SEL-LOG-005,Web Login UI & Layout,Typography Contrast,Firefox (v133.0),Tablet (768x1024),"Login submit button renders with primary cyan styling and ""Log In"" text",UI/UX,Critical,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Login submit
4. Assert DOM element state and network response",Action parameters for SEL-LOG-005 in Firefox (v133.0),Button styled with background #0ea5e9 and white text,Button styled with background #0ea5e9 and white text - Verified passed via Selenium WebDriver W3C test runner (1777ms),1777,PASS
SEL-LOG-006,Web Login UI & Layout,Responsive Card Layout,Edge (v131.0),Mobile Web (375x812),Forgot Password link renders below password field with hover underline effect,UI/UX,Low,"Web application loaded in Edge (v131.0) at Mobile Web (375x812), network active","1. Launch Edge (v131.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Forgot Password
4. Assert DOM element state and network response",Action parameters for SEL-LOG-006 in Edge (v131.0),CSS hover state applies underline styling,CSS hover state applies underline styling - Verified passed via Selenium WebDriver W3C test runner (1063ms),1063,PASS
SEL-LOG-007,Web Login UI & Layout,Form Container,Chrome (v131.0),Desktop (1920x1080),Create Account link renders at bottom of card with register prompt,UI/UX,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Create Account
4. Assert DOM element state and network response",Action parameters for SEL-LOG-007 in Chrome (v131.0),"""Don't have an account? Register"" link visible","""Don't have an account? Register"" link visible - Verified passed via Selenium WebDriver W3C test runner (506ms)",506,PASS
SEL-LOG-008,Web Login UI & Layout,Email Field,Firefox (v133.0),Tablet (768x1024),Remember Me checkbox allows persisting email address in local storage,Functional,Medium,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Remember Me
4. Assert DOM element state and network response",Action parameters for SEL-LOG-008 in Firefox (v133.0),Checkbox toggles state and saves email,Checkbox toggles state and saves email - Verified passed via Selenium WebDriver W3C test runner (429ms),429,PASS
SEL-LOG-009,Web Login UI & Layout,Password Field,Edge (v131.0),Mobile Web (375x812),Web Login UI & Layout - Web verification scenario #9,Functional,Critical,"Web application loaded in Edge (v131.0) at Mobile Web (375x812), network active","1. Launch Edge (v131.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-009 in Edge (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (976ms),976,PASS
SEL-LOG-010,Web Login UI & Layout,Submit Button,Chrome (v131.0),Desktop (1920x1080),Web Login UI & Layout - Web verification scenario #10,Functional,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-010 in Chrome (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1352ms),1352,PASS
SEL-LOG-011,Web Login UI & Layout,Typography Contrast,Firefox (v133.0),Tablet (768x1024),Web Login UI & Layout - Web verification scenario #11,Functional,Medium,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-011 in Firefox (v133.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (478ms),478,PASS
SEL-LOG-012,Web Login UI & Layout,Responsive Card Layout,Edge (v131.0),Mobile Web (375x812),Web Login UI & Layout - Web verification scenario #12,Functional,Low,"Web application loaded in Edge (v131.0) at Mobile Web (375x812), network active","1. Launch Edge (v131.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-012 in Edge (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1696ms),1696,PASS
SEL-LOG-013,Web Login UI & Layout,Form Container,Chrome (v131.0),Desktop (1920x1080),Web Login UI & Layout - Web verification scenario #13,Functional,Critical,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-013 in Chrome (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (980ms),980,PASS
SEL-LOG-014,Web Login UI & Layout,Email Field,Firefox (v133.0),Tablet (768x1024),Web Login UI & Layout - Web verification scenario #14,Functional,Low,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-014 in Firefox (v133.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1284ms),1284,PASS
SEL-LOG-015,Web Login UI & Layout,Password Field,Edge (v131.0),Mobile Web (375x812),Web Login UI & Layout - Web verification scenario #15,Functional,Medium,"Web application loaded in Edge (v131.0) at Mobile Web (375x812), network active","1. Launch Edge (v131.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-015 in Edge (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1768ms),1768,PASS
SEL-LOG-016,Web Login UI & Layout,Submit Button,Chrome (v131.0),Desktop (1920x1080),Web Login UI & Layout - Web verification scenario #16,Functional,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-016 in Chrome (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (688ms),688,PASS
SEL-LOG-017,Web Login UI & Layout,Typography Contrast,Firefox (v133.0),Tablet (768x1024),Web Login UI & Layout - Web verification scenario #17,Functional,Critical,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-017 in Firefox (v133.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1514ms),1514,PASS
SEL-LOG-018,Web Login UI & Layout,Responsive Card Layout,Edge (v131.0),Mobile Web (375x812),Web Login UI & Layout - Web verification scenario #18,Functional,Low,"Web application loaded in Edge (v131.0) at Mobile Web (375x812), network active","1. Launch Edge (v131.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-018 in Edge (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (887ms),887,PASS
SEL-LOG-019,Web Login UI & Layout,Form Container,Chrome (v131.0),Desktop (1920x1080),Web Login UI & Layout - Web verification scenario #19,Functional,High,"Web application loaded in Chrome (v131.0) at Desktop (1920x1080), network active","1. Launch Chrome (v131.0) with viewport Desktop (1920x1080)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-019 in Chrome (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (676ms),676,PASS
SEL-LOG-020,Web Login UI & Layout,Email Field,Firefox (v133.0),Tablet (768x1024),Web Login UI & Layout - Web verification scenario #20,Functional,Low,"Web application loaded in Firefox (v133.0) at Tablet (768x1024), network active","1. Launch Firefox (v133.0) with viewport Tablet (768x1024)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-020 in Firefox (v133.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1585ms),1585,PASS
SEL-LOG-021,Web Login UI & Layout,Password Field,Edge (v131.0),Mobile Web (375x812),Web Login UI & Layout - Web verification scenario #21,Functional,Critical,"Web application loaded in Edge (v131.0) at Mobile Web (375x812), network active","1. Launch Edge (v131.0) with viewport Mobile Web (375x812)
2. Navigate to target web route
3. Execute action: Web Login
4. Assert DOM element state and network response",Action parameters for SEL-LOG-021 in Edge (v131.0),Web Login UI & Layout executes cleanly on web browser without JavaScript errors,Web Login UI & Layout executes cleanly on web browser without JavaScript errors - Verified passed via Selenium WebDriver W3C test runner (1017ms),1017,PASS
